[26, 17, 16],
[24, 21, 21],
[63, 47, 47],
[73, 48, 43],
[357, 425, 346],
[542, 501, 510],
[14, 9, 9],
[20, 20, 20],
[424, 413, 367],
[590, 566, 557],
[110, 102, 87],
[107, 105, 115],
[336, 343, 309],
[581, 575, 555],
[425, 395, 422],
[393, 395, 387],
[978, 944, 948],
[956, 936, 967],
[2301, 2254, 1936],
[41, null, null],
[546, 514, 547],
[606, 581, 577],
[861, 841, 946],
[797, 773, 719],
[83, 77, 66],
[166, 141, 143],
[74, 70, 72],
[1005, 930, 953],
[9680, 9319, 9753],
[589, 626, 553],
[427, 335, 325],
[465, 415, 433],
[2389, 4232, 1625],
[1550, 1445, 1522],
[1489, 1480, 1478],
[535, 587, 583],
[63, 52, 52],
[39, 33, 32],
[36, 29, 28],
[133, 143, 128],
[28, 17, 21],
[25, 18, 17],
[26, 21, 19],
