[23, 20, 19],
[30, 24, 24],
[63, 62, 64],
[62, 68, 69],
[416, 425, 407],
[731, 663, 669],
[32, 24, 11],
[26, 26, 29],
[451, 483, 447],
[605, 618, 630],
[185, 195, 193],
[190, 197, 194],
[670, 656, 705],
[969, 851, 911],
[758, 689, 684],
[533, 476, 494],
[1524, 1316, 1333],
[1330, 1290, 1194],
[3497, 2708, 2918],
[102, null, null],
[1368, 1066, 1036],
[1371, 1151, 1243],
[2133, 2056, 2046],
[6607, 5995, 7003],
[176, 115, 128],
[308, 328, 340],
[150, 187, 151],
[1364, 1482, 1320],
[8795, 9416, 9400],
[448, 395, 388],
[670, 576, 596],
[757, 687, 683],
[3782, 3530, 3461],
[5766, 5322, 5205],
[5731, 4308, 4602],
[833, 704, 735],
[1070, 943, 965],
[1063, 862, 850],
[988, 910, 915],
[1726, 1570, 1645],
[241, 162, 159],
[191, 156, 186],
[193, 127, 128],
